uid	SPScenario	Choice	DrvLic	PblcTrst	AgeGrp	Empl	Edu	Nveh	Nadlt	Nchld	Income	Car_Cost	CarRental_Cost	Bus_Cost	Plane_Cost	Train_Cost	TrH_Cost	Car_TT	CarRental_TT	Bus_TT	Plane_TT	Train_TT	TrH_TT	CarRelib	CarRentalRelib	BusRelib	PlaneRelib	TrainRelib	TrHRelib	AV_Car	AV_CarRental	AV_Bus	AV_Plane	AV_Train	AV_TrH	
1523	1	0	1	0	1	0	2	1	2	0	3	1.3	2.31	0.8	2	0.74	1.75	7.750	8.500	11.167	5.367	9.117	14.283	0	0	0	0	0	0	1	1	1	1	1	1	
1524	2	0	1	0	1	0	2	1	2	0	3	1.65	2.85	1	1.6	0.92	1.5	8.500	7.750	12.167	4.850	11.750	12.717	0.9	0.85	0.75	0.85	0.9	0.95	1	1	1	1	1	1	
1525	3	5	1	0	2	2	2	1	1	0	3	1.65	2.85	0.8	2.5	0.92	1.5	8.500	8.500	11.167	5.100	11.750	12.717	0.9	0.9	0.6	0.85	0.9	0.99	1	1	1	1	1	1	
1526	2	5	1	0	2	2	2	1	1	0	3	1.18	2.31	1	2	1.15	1.25	7.750	7.000	12.167	4.850	14.367	11.667	0.75	0.85	0.85	0.9	0.75	0.9	1	1	1	1	1	1	
1527	1	5	1	0	2	2	2	1	1	0	3	1.3	1.78	0.64	1.6	0.74	1.75	7.000	7.750	10.167	5.367	9.117	14.283	0.85	0.75	0.75	0.7	0.85	0.95	1	1	1	1	1	1	
1528	1	5	1	1	1	1	1	2	2	0	2	0.96	2.36	0.88	3	0	1.5	7.500	5.500	10.167	5.167	0.000	14.167	0	0	0	0	0	0	1	1	1	1	0	1	
1529	2	5	1	1	1	1	1	2	2	0	2	0.87	1.47	1.38	2.66	0	1.8	6.500	7.500	11.167	4.717	0.000	15.467	0.85	0.9	0.85	0.7	0	0.9	1	1	1	1	0	1	
1530	3	0	1	1	1	1	1	2	2	0	2	1.22	1.92	1.1	2.13	0	2.1	5.500	6.500	10.667	4.933	0.000	17.417	0.9	0.75	0.75	0.85	0	0.9	1	1	1	1	0	1	
1531	3	5	1	1	2	0	1	1	2	2	2	1.18	1.78	1	2.5	0.74	1.5	7.000	7.000	12.167	5.367	9.117	12.717	0.75	0.75	0.85	0.9	0.75	0.99	1	1	1	1	1	1	
1532	1	5	1	1	2	0	1	1	2	2	2	1.3	2.85	0.8	2	1.15	1.25	8.500	7.750	11.167	5.100	14.367	11.667	0	0	0	0	0	0	1	1	1	1	1	1	
1533	2	5	1	1	2	0	1	1	2	2	2	1.65	2.31	0.64	1.6	0.92	1.75	7.750	8.500	10.167	4.850	11.750	14.283	0.9	0.9	0.75	0.85	0.9	0.95	1	1	1	1	1	1	
1534	2	4	1	1	2	2	1	0	1	0	0	1.3	2.85	0.8	2.5	0.74	1.75	7.750	8.500	11.167	5.100	9.117	14.283	0.85	0.75	0.6	0.7	0.75	0.95	1	1	1	1	1	1	
1535	3	5	1	1	2	2	1	0	1	0	0	1.65	2.31	0.64	2	1.15	1.25	7.000	7.000	10.167	4.850	14.367	11.667	0.75	0.85	0.75	0.85	0.9	0.9	1	1	1	1	1	1	
1536	1	4	1	1	2	2	1	0	1	0	0	1.18	1.78	1	1.6	0.92	1.5	8.500	7.750	12.167	5.367	11.750	12.717	0.9	0.9	0.85	0.9	0.85	0.99	1	1	1	1	1	1	
1537	3	0	1	1	0	1	1	0	2	0	3	1.65	1.78	0.64	2.5	1.15	1.5	8.500	8.500	10.167	4.850	14.367	12.717	0.9	0.85	0.85	0.7	0.85	0.95	1	1	1	1	1	1	
1538	1	0	1	1	0	1	1	0	2	0	3	1.3	2.85	0.8	2	0.92	1.75	7.750	7.750	12.167	5.367	11.750	14.283	0	0	0	0	0	0	1	1	1	1	1	1	
1539	2	5	1	1	0	1	1	0	2	0	3	1.18	2.31	1	1.6	0.74	1.25	7.000	7.000	11.167	5.100	9.117	11.667	0.85	0.75	0.75	0.9	0.75	0.9	1	1	1	1	1	1	
1540	2	0	1	0	3	2	1	1	2	0	0	1.18	2.85	0.8	2.5	0.74	1.25	7.750	8.500	11.167	5.367	9.117	11.667	0.9	0.9	0.85	0.85	0.75	0.9	1	1	1	1	1	1	
1541	1	0	1	0	3	2	1	1	2	0	0	1.65	1.78	0.64	2	0.92	1.75	8.500	7.750	12.167	4.850	11.750	14.283	0	0	0	0	0	0	1	1	1	1	1	1	
1542	3	0	1	0	3	2	1	1	2	0	0	1.3	2.31	1	1.6	1.15	1.5	7.000	7.000	10.167	5.100	14.367	12.717	0.85	0.85	0.75	0.9	0.9	0.99	1	1	1	1	1	1	
1543	1	5	1	0	3	2	2	1	0	0	2	0.87	1.92	1.38	3	0	1.5	6.500	6.500	11.167	4.717	0.000	14.167	0	0	0	0	0	0	1	1	1	1	0	1	
1544	3	5	1	0	3	2	2	1	0	0	2	1.22	1.47	0.88	2.66	0	2.1	5.500	5.500	10.667	4.933	0.000	17.417	0.75	0.75	0.6	0.85	0	0.9	1	1	1	1	0	1	
